log_loss,brier_mean_1vr,ece_mean_1vr,accuracy,balanced_accuracy,macro_f1,weighted_f1,method,fold,n_rows,n_subjects
0.7882753456498501,0.42307722702785994,0.14870207868505303,0.6551724137931034,0.47767857142857145,0.48728868241063356,0.6677747073037232,raw,0,58,23
0.6427159782344687,0.35784562380929863,0.10491211944081964,0.7586206896551724,0.5456349206349206,0.5244996549344375,0.7236381809095452,sigmoid,0,58,23
1.7425944374218472,0.3580267589729598,0.12010043524099749,0.7758620689655172,0.5560515873015873,0.5363530778164924,0.739733269253875,isotonic,0,58,23
0.7261713170991738,0.44612691713005687,0.18587619654818568,0.5925925925925926,0.6171107994389902,0.4611111111111111,0.6756172839506173,raw,1,54,22
0.5696539118304423,0.3063238207715782,0.12471566435703468,0.8148148148148148,0.7994389901823282,0.5367965367965368,0.8116081449414784,sigmoid,1,54,22
0.5354015612266404,0.29017072397657767,0.12214046987362197,0.8333333333333334,0.8211781206171107,0.5507453786523554,0.8313655336911152,isotonic,1,54,22
0.8487538866469639,0.4819837753664019,0.15164172248476473,0.6461538461538462,0.5827380952380953,0.5098178674030067,0.579599389816108,raw,2,65,22
1.0513367854755025,0.5365557475166539,0.1624632534213604,0.6461538461538462,0.5714285714285714,0.47863247863247865,0.5577909270216962,sigmoid,2,65,22
1.562389694134246,0.5408120550401193,0.1697162108054507,0.6461538461538462,0.5714285714285714,0.47863247863247865,0.5577909270216962,isotonic,2,65,22
0.5630862271666561,0.3261342237202883,0.16105186803290686,0.8113207547169812,0.8680124223602483,0.6916971916971916,0.8518902481166631,raw,3,53,22
0.5281728312283904,0.2721269853853295,0.16879978237665516,0.8301886792452831,0.5807453416149069,0.5643112590948329,0.8160604220328217,sigmoid,3,53,22
0.5215738792572291,0.2826842992466615,0.12853724758645094,0.8301886792452831,0.5807453416149069,0.5643112590948329,0.8160604220328217,isotonic,3,53,22
0.750887943547945,0.44452768399986575,0.16665699711967893,0.6274509803921569,0.4484848484848485,0.48881614839061643,0.6826481820223999,raw,4,51,23
0.622340098066279,0.3378860793097804,0.10805246373986555,0.7647058823529411,0.5581818181818182,0.5308176100628931,0.7339992600813912,sigmoid,4,51,23
1.266212759930328,0.3611049795954207,0.13368779373877135,0.7058823529411765,0.5145454545454545,0.505941770647653,0.700202719233861,isotonic,4,51,23
