aggregation,sensitivity,specificity,balanced_accuracy,ppv,npv,f1,accuracy,roc_auc,brier
latest,0.75,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.75,0.7894736842105263,0.7894736842105263,0.8333333333333334,0.15278460069942942
max,0.8,0.5555555555555556,0.6777777777777778,0.6666666666666666,0.7142857142857143,0.7272727272727273,0.6842105263157895,0.8305555555555555,0.191952936661388
mean,0.75,0.6666666666666666,0.7083333333333333,0.7142857142857143,0.7058823529411765,0.7317073170731707,0.7105263157894737,0.8222222222222223,0.17877431707518185
baseline,0.6,0.6111111111111112,0.6055555555555556,0.631578947368421,0.5789473684210527,0.6153846153846154,0.6052631578947368,0.7388888888888889,0.2381126107261738
