calibration_fold,calibration_train_n,calibration_train_positive,calibration_validation_n,calibration_validation_positive,sigmoid_logloss,sigmoid_brier,sigmoid_ece,isotonic_logloss,isotonic_brier,isotonic_ece,raw_logloss,raw_brier,raw_ece
0,89,52,23,6,0.6144550658063985,0.20746908359055585,0.23647905888334042,3.5036968217176234,0.2148994327147826,0.25594468326463615,0.576693693135763,0.18448864855948183,0.24521931700330263
1,89,42,23,16,0.25243818709174887,0.06434918078450746,0.16414273111339847,0.2194763084895461,0.06892026765047164,0.11924256959675172,0.19418190499602228,0.05650001290096641,0.14630666641455925
2,90,46,22,12,0.36824156679047565,0.11518149569300858,0.11600358483140459,0.3237600900006267,0.10680373701314579,0.07147488874761601,0.3310862492562665,0.11117153401849386,0.12742641492323797
3,90,44,22,14,0.45721143113352414,0.15002190864272877,0.17949022117243874,1.9830891044125243,0.1648205695265771,0.21271863061526658,0.43762423077020984,0.14575000728375329,0.20072344745006296
4,90,48,22,10,0.4579909105209943,0.15382533430526066,0.2609275337045413,0.33022466374393883,0.1128425802977553,0.157473471924776,0.3979099090798584,0.14246901040033644,0.2279954201537005
