setting,sensitivity,specificity,balanced_accuracy,ppv,npv,f1,accuracy,roc_auc,pr_auc,brier,logloss,n,positive,negative,tp,fp,tn,fn
baseline,0.6,0.6111111111111112,0.6055555555555556,0.631578947368421,0.5789473684210527,0.6153846153846154,0.6052631578947368,0.7388888888888889,0.8080693504082799,0.2381126107261738,0.6743299582174366,38,20,18,12,7,11,8
latest,0.75,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.75,0.7894736842105263,0.7894736842105263,0.8333333333333334,0.8897126696832582,0.15278460069942942,0.47067790407031557,38,20,18,15,3,15,5
