accuracy,balanced_accuracy,sensitivity,specificity,ppv,npv,f1,roc_auc,pr_auc,brier,log_loss,fold,model
0.7796610169491526,0.7566425120772947,0.6521739130434783,0.8611111111111112,0.75,0.7948717948717948,0.6976744186046512,0.8683574879227053,0.8591837310669102,0.1390800066485636,0.42478123521316774,0,LogisticRegression
0.8214285714285714,0.822477650063857,0.8518518518518519,0.7931034482758621,0.7931034482758621,0.8518518518518519,0.8214285714285714,0.9220945083014049,0.9390584181244408,0.12441949808697181,0.3853967915186343,1,LogisticRegression
0.7049180327868853,0.7194444444444444,0.6388888888888888,0.8,0.8214285714285714,0.6060606060606061,0.71875,0.8344444444444444,0.8759835496659721,0.1787647888561159,0.5252693491473652,2,LogisticRegression
0.8679245283018868,0.8660968660968661,0.7692307692307693,0.9629629629629629,0.9523809523809523,0.8125,0.851063829787234,0.8767806267806268,0.9097900335021184,0.12583800841849357,0.3999151337172708,3,LogisticRegression
0.75,0.75,0.6538461538461539,0.8461538461538461,0.8095238095238095,0.7096774193548387,0.723404255319149,0.8224852071005918,0.8624116846338302,0.16335732277046253,0.4537908580968387,4,LogisticRegression
0.847457627118644,0.8121980676328502,0.6521739130434783,0.9722222222222222,0.9375,0.813953488372093,0.7692307692307693,0.8985507246376812,0.8974514689438773,0.1240599584598102,0.40104739485507723,0,RandomForest
0.6964285714285714,0.6979565772669221,0.7407407407407407,0.6551724137931034,0.6666666666666666,0.7307692307692307,0.7017543859649122,0.8403575989782887,0.8636282850896984,0.17528509022404457,0.5017324531328987,1,RandomForest
0.6885245901639344,0.7116666666666667,0.5833333333333334,0.84,0.84,0.5833333333333334,0.6885245901639344,0.7555555555555555,0.8468099605797608,0.20506675055804777,0.5816960465735675,2,RandomForest
0.7358490566037735,0.7343304843304843,0.6538461538461539,0.8148148148148148,0.7727272727272727,0.7096774193548387,0.7083333333333334,0.8796296296296297,0.8953756648040262,0.14386003338529604,0.42893787869145195,3,RandomForest
0.6923076923076923,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.7973372781065089,0.8383653686467945,0.1979733577399811,0.5616080978565022,4,RandomForest
0.7288135593220338,0.7149758454106281,0.6521739130434783,0.7777777777777778,0.6521739130434783,0.7777777777777778,0.6521739130434783,0.7971014492753623,0.8237868086974363,0.15581784647172128,0.4713146250953249,0,SVM
0.7142857142857143,0.7190293742017879,0.8518518518518519,0.5862068965517241,0.6571428571428571,0.8095238095238095,0.7419354838709677,0.8026819923371648,0.8081181963172646,0.1943837574558082,0.5620750452888762,1,SVM
0.639344262295082,0.663888888888889,0.5277777777777778,0.8,0.7916666666666666,0.5405405405405406,0.6333333333333333,0.6811111111111112,0.7738560931702384,0.2531894198538979,0.711943168021799,2,SVM
0.8679245283018868,0.8660968660968661,0.7692307692307693,0.9629629629629629,0.9523809523809523,0.8125,0.851063829787234,0.8767806267806268,0.9116821597900027,0.12459662038645775,0.40037707733426364,3,SVM
0.75,0.75,0.6923076923076923,0.8076923076923077,0.782608695652174,0.7241379310344828,0.7346938775510204,0.8801775147928993,0.8912285859833938,0.14935901638673568,0.4327310394026671,4,SVM
0.7966101694915254,0.7705314009661836,0.6521739130434783,0.8888888888888888,0.7894736842105263,0.8,0.7142857142857143,0.8417874396135265,0.844921134563078,0.14327112541376072,0.44237929990158603,0,XGBoost
0.7142857142857143,0.7164750957854407,0.7777777777777778,0.6551724137931034,0.6774193548387096,0.76,0.7241379310344828,0.8071519795657727,0.8408532279109759,0.2042039872192078,0.6255962299197612,1,XGBoost
0.6721311475409836,0.6794444444444444,0.6388888888888888,0.72,0.7666666666666667,0.5806451612903226,0.696969696969697,0.7377777777777778,0.8208256508727969,0.23458097411875264,0.7074095974721325,2,XGBoost
0.8301886792452831,0.8297720797720798,0.8076923076923077,0.8518518518518519,0.84,0.8214285714285714,0.8235294117647058,0.8824786324786326,0.9022841649305581,0.13675523713644785,0.4050250798263673,3,XGBoost
0.7115384615384616,0.7115384615384616,0.6538461538461539,0.7692307692307693,0.7391304347826086,0.6896551724137931,0.6938775510204082,0.8017751479289941,0.8492179775173526,0.20527279937506424,0.5984407601217636,4,XGBoost
