accuracy,balanced_accuracy,sensitivity,specificity,ppv,npv,f1,roc_auc,pr_auc,brier,log_loss,method,fold,n_subjects
0.7796610169491526,0.7566425120772947,0.6521739130434783,0.8611111111111112,0.75,0.7948717948717948,0.6976744186046512,0.8683574879227053,0.8591837310669102,0.1390800066485636,0.42478123521316774,raw,0,23
0.7796610169491526,0.7566425120772947,0.6521739130434783,0.8611111111111112,0.75,0.7948717948717948,0.6976744186046512,0.8683574879227053,0.8591837310669102,0.1434997733533685,0.4372509506096885,sigmoid,0,23
0.8305084745762712,0.7826086956521738,0.5652173913043478,1.0,1.0,0.782608695652174,0.7222222222222222,0.8460144927536232,0.82068566053594,0.13465395469355682,1.5230515904680149,isotonic,0,23
0.8214285714285714,0.822477650063857,0.8518518518518519,0.7931034482758621,0.7931034482758621,0.8518518518518519,0.8214285714285714,0.9220945083014049,0.9390584181244408,0.12441949808697181,0.3853967915186343,raw,1,22
0.7857142857142857,0.7879948914431674,0.8518518518518519,0.7241379310344828,0.7419354838709677,0.84,0.7931034482758621,0.9220945083014049,0.9390584181244408,0.1332548929757784,0.41748318088743336,sigmoid,1,22
0.8214285714285714,0.8199233716475096,0.7777777777777778,0.8620689655172413,0.84,0.8064516129032258,0.8076923076923077,0.9163473818646232,0.9042901234567902,0.12480115283374811,0.3898829535787448,isotonic,1,22
0.7049180327868853,0.7194444444444444,0.6388888888888888,0.8,0.8214285714285714,0.6060606060606061,0.71875,0.8344444444444444,0.8759835496659721,0.1787647888561159,0.5252693491473652,raw,2,22
0.6885245901639344,0.7055555555555556,0.6111111111111112,0.8,0.8148148148148148,0.5882352941176471,0.6984126984126984,0.8344444444444444,0.8759835496659721,0.1846456147658017,0.5447191683095193,sigmoid,2,22
0.6885245901639344,0.7177777777777778,0.5555555555555556,0.88,0.8695652173913043,0.5789473684210527,0.6779661016949152,0.8133333333333334,0.8095879274591506,0.19837675660890491,1.6592783725588582,isotonic,2,22
0.8679245283018868,0.8660968660968661,0.7692307692307693,0.9629629629629629,0.9523809523809523,0.8125,0.851063829787234,0.8767806267806268,0.9097900335021184,0.12583800841849357,0.3999151337172708,raw,3,23
0.8679245283018868,0.8660968660968661,0.7692307692307693,0.9629629629629629,0.9523809523809523,0.8125,0.851063829787234,0.8767806267806268,0.9097900335021184,0.12437598869781002,0.4059311769598928,sigmoid,3,23
0.8301886792452831,0.8276353276353277,0.6923076923076923,0.9629629629629629,0.9473684210526315,0.7647058823529411,0.8,0.8639601139601141,0.8718121970837184,0.14079176211428812,0.43868741453549653,isotonic,3,23
0.75,0.75,0.6538461538461539,0.8461538461538461,0.8095238095238095,0.7096774193548387,0.723404255319149,0.8224852071005918,0.8624116846338302,0.16335732277046253,0.4537908580968387,raw,4,22
0.7307692307692307,0.7307692307692308,0.6538461538461539,0.8076923076923077,0.7727272727272727,0.7,0.7083333333333334,0.8224852071005918,0.8624116846338302,0.1715048882409601,0.49394430647780074,sigmoid,4,22
0.75,0.75,0.5769230769230769,0.9230769230769231,0.8823529411764706,0.6857142857142857,0.6976744186046512,0.8291420118343196,0.8453742491173,0.1643853987710522,0.4687819155987203,isotonic,4,22
