setting,threshold,sensitivity,specificity,balanced_accuracy,ppv,npv,f1,accuracy,roc_auc,pr_auc,brier,logloss,n,positive,negative
A current model @ baseline visit,0.4,0.6,0.6111111111111112,0.6055555555555556,0.631578947368421,0.5789473684210527,0.6153846153846154,0.6052631578947368,0.7388888888888889,0.8080693504082799,0.2381126107261738,0.6743299582174366,38,20,18
B baseline-only model @ baseline visit,0.4,0.6,0.5555555555555556,0.5777777777777777,0.6,0.5555555555555556,0.6,0.5789473684210527,0.7444444444444444,0.8134848564589947,0.23819462549430526,0.6693188515078113,38,20,18
A current model @ latest visit,0.4,0.75,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.75,0.7894736842105263,0.7894736842105263,0.8333333333333334,0.8897126696832582,0.15278460069942942,0.47067790407031557,38,20,18
C longitudinal (primary) @ latest eligible visit,0.4,0.75,0.7777777777777778,0.7638888888888888,0.7894736842105263,0.7368421052631579,0.7692307692307693,0.7631578947368421,0.8333333333333334,0.8850729905317205,0.17989420380272544,0.521941266696292,38,20,18
