feature_set,features,sensitivity,specificity,balanced_accuracy,ppv,npv,f1,accuracy,roc_auc,pr_auc,brier,logloss,converted_detected,converted_missed,converted_recall
Set1_control,"['age', 'sex', 'education_years', 'mmse', 'ses']",0.8448275862068966,0.7592592592592593,0.8020434227330779,0.7903225806451613,0.82,0.8166666666666667,0.8035714285714286,0.9074074074074074,0.9239836242227625,0.12216768639030857,0.374071359738137,6,4,0.6
Set2_+visit_count,"['age', 'sex', 'education_years', 'mmse', 'ses', 'visit_count']",0.8793103448275862,0.7222222222222222,0.8007662835249042,0.7727272727272727,0.8478260869565217,0.8225806451612904,0.8035714285714286,0.8965517241379309,0.9199474245647009,0.12957432926302717,0.4018371455012536,6,4,0.6
Set3_+time_since_baseline,"['age', 'sex', 'education_years', 'mmse', 'ses', 'mr_delay']",0.8448275862068966,0.7777777777777778,0.8113026819923372,0.8032786885245902,0.8235294117647058,0.8235294117647058,0.8125,0.901021711366539,0.9203351640693289,0.12376388288510107,0.38175345810841843,6,4,0.6
Set4_+prev_mmse_delta,"['age', 'sex', 'education_years', 'mmse', 'ses', 'prev_mmse', 'mmse_delta']",0.8448275862068966,0.7777777777777778,0.8113026819923372,0.8032786885245902,0.8235294117647058,0.8235294117647058,0.8125,0.9112388250319285,0.9310557516517003,0.12076656403169458,0.35899050971495233,5,5,0.5
Set5_+MRI,"['age', 'sex', 'education_years', 'mmse', 'ses', 'etiv', 'nwbv', 'asf']",0.8620689655172413,0.7407407407407407,0.801404853128991,0.78125,0.8333333333333334,0.819672131147541,0.8035714285714286,0.8892081736909323,0.9156923916517483,0.13317543780515026,0.41135531750621546,5,5,0.5
